Name,FoodGroup,ServingSize,ServingUnit,PurchaseUnit,DefaultLocation,StoreSection,IsPerishable,IsFlexibleGroup,IsMyPlateCounted,ShelfLifeDays,TypicalPackageSize,PackageSizeUnit,IsStaple,Aliases,Notes
Arugula,Vegetable,2,cups raw,clamshell,Fridge,Produce,true,false,true,5,5,oz,false,Rocket,
Artichoke,Vegetable,1,medium artichoke,each,Fridge,Produce,true,false,true,7,1,each,false,,
Artichoke Hearts,Vegetable,1,cup,jar,Pantry,Pantry,false,false,true,365,14,oz,false,,
Asparagus,Vegetable,1,cup chopped,bunch,Fridge,Produce,true,false,true,5,1,lb,false,,
Avocado,Vegetable,1,whole,each,Fridge,Produce,true,false,true,5,1,each,false,,
Beets,Vegetable,1,cup chopped,bunch,Fridge,Produce,true,false,true,14,1,lb,false,,
Bell Pepper,Vegetable,1,cup chopped,each,Fridge,Produce,true,false,true,7,1,each,false,Sweet Pepper,
Broccoli,Vegetable,1,cup chopped,head,Fridge,Produce,true,false,true,7,1,head,false,,
Broccoli (Cooked),Vegetable,1,cup cooked,head,Fridge,Produce,true,false,true,7,1,head,false,,
Brussels Sprouts,Vegetable,1,cup,bag,Fridge,Produce,true,false,true,7,1,lb,false,,
Butternut Squash,Vegetable,1,cup cubed,each,Fridge,Produce,true,false,true,30,1,each,false,,
Cabbage,Vegetable,1,cup shredded,head,Fridge,Produce,true,false,true,21,1,head,false,,
Carrots,Vegetable,1,cup chopped,bag,Fridge,Produce,true,false,true,21,1,lb,false,,
Cauliflower,Vegetable,1,cup chopped,head,Fridge,Produce,true,false,true,7,1,head,false,,
Celery,Vegetable,1,cup chopped,bunch,Fridge,Produce,true,false,true,14,1,bunch,false,,
Cherry Tomatoes,Vegetable,1,cup,pint,Fridge,Produce,true,false,true,7,1,pint,false,,
Collard Greens,Vegetable,2,cups raw,bunch,Fridge,Produce,true,false,true,5,1,bunch,false,,
Corn,Vegetable,1,cup,bag,Fridge,Produce,true,false,true,5,,,false,,
Cucumber,Vegetable,1,cup sliced,each,Fridge,Produce,true,false,true,7,1,each,false,,
Eggplant,Vegetable,1,cup cubed,each,Fridge,Produce,true,false,true,7,1,each,false,Aubergine,
Fennel,Vegetable,1,cup sliced,bulb,Fridge,Produce,true,false,true,10,1,bulb,false,,
Garlic,Vegetable,0.5,cup cloves,head,Fridge,Produce,true,false,true,60,1,head,false,,
Green Beans,Vegetable,1,cup,bag,Fridge,Produce,true,false,true,7,1,lb,false,,
Green Onions,Vegetable,1,cup chopped,bunch,Fridge,Produce,true,false,true,7,1,bunch,false,Scallions;Spring Onions,
Jalapeno,Vegetable,1,cup sliced,each,Fridge,Produce,true,false,true,7,1,each,false,,
Kale,Vegetable,2,cups raw,bunch,Fridge,Produce,true,false,true,7,1,bunch,false,,
Kale (Cooked),Vegetable,1,cup cooked,bunch,Fridge,Produce,true,false,true,7,1,bunch,false,,
Leeks,Vegetable,1,cup sliced,bunch,Fridge,Produce,true,false,true,14,1,bunch,false,,
Mixed Greens,Vegetable,2,cups raw,clamshell,Fridge,Produce,true,false,true,5,5,oz,false,,
Mushrooms,Vegetable,1,cup sliced,package,Fridge,Produce,true,false,true,7,8,oz,false,,
Mushrooms (Cooked),Vegetable,1,cup cooked,package,Fridge,Produce,true,false,true,7,8,oz,false,,
Napa Cabbage,Vegetable,1,cup shredded,head,Fridge,Produce,true,false,true,10,1,head,false,,
Onion,Vegetable,1,cup chopped,each,Fridge,Produce,true,false,true,30,1,each,false,,
Parsnips,Vegetable,1,cup chopped,bag,Fridge,Produce,true,false,true,21,1,lb,false,,
Peas,Vegetable,1,cup,bag,Fridge,Produce,true,false,true,5,12,oz,false,,
Potato,Vegetable,1,cup cooked,each,Fridge,Produce,true,false,true,30,1,each,false,,
Pumpkin,Vegetable,1,cup cubed,each,Fridge,Produce,true,false,true,60,1,each,false,,
Pumpkin Puree,Vegetable,1,cup,can,Pantry,Pantry,false,false,true,730,15,oz,false,,
Radishes,Vegetable,1,cup sliced,bunch,Fridge,Produce,true,false,true,10,1,bunch,false,,
Red Cabbage,Vegetable,1,cup shredded,head,Fridge,Produce,true,false,true,21,1,head,false,,
Romaine Lettuce,Vegetable,2,cups chopped,head,Fridge,Produce,true,false,true,7,1,head,false,,
Shallots,Vegetable,1,cup chopped,bag,Fridge,Produce,true,false,true,30,1,lb,false,,
Snap Peas,Vegetable,1,cup,bag,Fridge,Produce,true,false,true,5,8,oz,false,,
Snow Peas,Vegetable,1,cup,bag,Fridge,Produce,true,false,true,5,8,oz,false,,
Spinach,Vegetable,2,cups raw,bag,Fridge,Produce,true,false,true,5,5,oz,false,,
Spinach (Cooked),Vegetable,1,cup cooked,bag,Fridge,Produce,true,false,true,5,5,oz,false,,
Spaghetti Sauce,Vegetable,1,cup,jar,Pantry,Pantry,false,false,true,365,24,oz,false,,Prepared tomato-based sauce; counted as a vegetable ingredient in this seed model.
Spaghetti Squash,Vegetable,1,cup cooked strands,each,Fridge,Produce,true,false,true,30,1,each,false,,
Summer Squash,Vegetable,1,cup sliced,each,Fridge,Produce,true,false,true,7,1,each,false,,
Sun-Dried Tomatoes,Vegetable,0.5,cup,jar,Pantry,Pantry,false,false,true,365,8,oz,false,,Shelf-stable pantry form of tomatoes.
Tomatillos,Vegetable,1,cup chopped,bag,Fridge,Produce,true,false,true,7,1,lb,false,,
Tomato Juice,Vegetable,1,cup,bottle,Fridge,Produce,true,false,true,7,32,oz,false,,
Tomato Sauce,Vegetable,1,cup,can,Pantry,Pantry,false,false,true,730,15,oz,false,,Tomato-based pantry ingredient used as a vegetable contributor in recipes.
Tomatoes,Vegetable,1,cup chopped,each,Fridge,Produce,true,false,true,7,1,each,false,,
Turnips,Vegetable,1,cup cubed,bunch,Fridge,Produce,true,false,true,21,1,lb,false,,
Yellow Onion,Vegetable,1,cup chopped,each,Fridge,Produce,true,false,true,30,1,each,false,,
Yellow Squash,Vegetable,1,cup sliced,each,Fridge,Produce,true,false,true,7,1,each,false,,
Zucchini,Vegetable,1,cup sliced,each,Fridge,Produce,true,false,true,7,1,each,false,Courgette,
Acorn Squash,Vegetable,1,cup cooked,each,Fridge,Produce,true,false,true,30,1,each,false,,Classified as vegetable for MyPlate planning.
Apple,Fruit,1,whole,each,Fridge,Produce,true,false,true,30,1,each,false,,
Apple Juice,Fruit,1,cup,bottle,Fridge,Produce,true,false,true,7,64,oz,false,,
Applesauce,Fruit,1,cup,jar,Pantry,Pantry,false,false,true,365,24,oz,false,,
Apricot,Fruit,4,whole,lb,Fridge,Produce,true,false,true,5,1,lb,false,,
Apricots (Dried),Fruit,0.5,cup,bag,Fridge,Produce,false,false,true,180,8,oz,false,,
Banana,Fruit,1,whole,bunch,Fridge,Produce,true,false,true,7,1,bunch,false,,
Blackberries,Fruit,1,cup,pint,Fridge,Produce,true,false,true,5,1,pint,false,,
Blueberries,Fruit,1,cup,pint,Fridge,Produce,true,false,true,7,1,pint,false,,
Cantaloupe,Fruit,1,cup diced,each,Fridge,Produce,true,false,true,7,1,each,false,,
Cherries,Fruit,1,cup,bag,Fridge,Produce,true,false,true,7,1,lb,false,,
Clementine,Fruit,2,whole,bag,Fridge,Produce,true,false,true,21,3,lb,false,,
Cranberries (Dried),Fruit,0.5,cup,bag,Fridge,Produce,false,false,true,180,6,oz,false,,
Dates,Fruit,0.5,cup,container,Fridge,Produce,false,false,true,180,8,oz,false,,
Figs (Dried),Fruit,0.5,cup,bag,Fridge,Produce,false,false,true,180,8,oz,false,,
