Name,FoodGroup,ServingSize,ServingUnit,PurchaseUnit,DefaultLocation,StoreSection,IsPerishable,IsFlexibleGroup,IsMyPlateCounted,ShelfLifeDays,TypicalPackageSize,PackageSizeUnit,IsStaple,Aliases,Notes
Bagel,Grains,1,small,bag,Pantry,Grains,false,false,true,7,6,count,false,,
Baguette,Grains,2,oz,loaf,Pantry,Grains,false,false,true,3,1,loaf,false,,
Barley,Grains,0.5,cup cooked,bag,Pantry,Grains,false,false,true,365,1,lb,false,,
Black Rice,Grains,0.5,cup cooked,bag,Pantry,Grains,false,false,true,365,1,lb,false,,
Bread Crumbs,Grains,0.5,cup,container,Pantry,Grains,false,false,true,180,15,oz,true,,
Brown Rice,Grains,0.5,cup cooked,bag,Pantry,Grains,false,false,true,365,1,lb,true,,
Brown Rice Noodles,Grains,0.5,cup cooked,package,Pantry,Grains,false,false,true,365,8,oz,false,,
Buckwheat,Grains,0.5,cup cooked,bag,Pantry,Grains,false,false,true,365,1,lb,false,,
Burger Bun,Grains,1,bun,package,Pantry,Grains,false,false,true,7,8,count,false,,
Cereal,Grains,1,cup,box,Pantry,Grains,false,false,true,365,12,oz,false,,
Corn Tortilla,Grains,1,tortilla,package,Pantry,Grains,false,false,true,14,12,count,false,,
Couscous,Grains,0.5,cup cooked,box,Pantry,Grains,false,false,true,365,1,lb,false,,
Crackers,Grains,1,oz,box,Pantry,Grains,false,false,true,180,8,oz,false,,
English Muffin,Grains,1,muffin,package,Pantry,Grains,false,false,true,7,6,count,false,,
Farro,Grains,0.5,cup cooked,bag,Pantry,Grains,false,false,true,365,1,lb,false,,
Flour Tortilla,Grains,1,tortilla,package,Pantry,Grains,false,false,true,14,10,count,false,,
Gnocchi,Grains,0.5,cup cooked,package,Fridge,Grains,true,false,true,14,16,oz,false,,Stored under grains for planning simplicity.
Granola,Grains,0.5,cup,bag,Pantry,Grains,false,false,true,180,12,oz,false,,
Hominy,Grains,0.5,cup,can,Pantry,Grains,false,false,true,730,15,oz,false,,
Jasmine Rice,Grains,0.5,cup cooked,bag,Pantry,Grains,false,false,true,365,1,lb,true,,
Macaroni,Grains,0.5,cup cooked,box,Pantry,Grains,false,false,true,365,16,oz,true,,
Millet,Grains,0.5,cup cooked,bag,Pantry,Grains,false,false,true,365,1,lb,false,,
Multigrain Bread,Grains,1,slice,loaf,Pantry,Grains,false,false,true,7,1,loaf,false,,
Naan,Grains,1,piece,package,Pantry,Grains,false,false,true,7,4,count,false,,
Oatmeal,Grains,0.5,cup cooked,container,Pantry,Grains,false,false,true,365,18,oz,false,,
Oats,Grains,0.5,cup dry,container,Pantry,Grains,false,false,true,365,18,oz,true,,
Orzo,Grains,0.5,cup cooked,box,Pantry,Grains,false,false,true,365,16,oz,false,,
Panko,Grains,0.5,cup,container,Pantry,Grains,false,false,true,180,8,oz,true,,
Pearled Barley,Grains,0.5,cup cooked,bag,Pantry,Grains,false,false,true,365,1,lb,false,,
Penne,Grains,0.5,cup cooked,box,Pantry,Grains,false,false,true,365,16,oz,true,,
Pita Bread,Grains,1,pita,package,Pantry,Grains,false,false,true,7,6,count,false,,
Pizza Dough,Grains,2,oz,package,Fridge,Grains,true,false,true,5,16,oz,false,,Assumes refrigerated dough.
Polenta,Grains,0.5,cup cooked,package,Pantry,Grains,false,false,true,365,16,oz,false,,
Popcorn,Grains,3,cups popped,bag,Pantry,Grains,false,false,true,180,8,oz,false,,
Quinoa,Grains,0.5,cup cooked,bag,Pantry,Grains,false,false,true,365,1,lb,true,,
Ramen Noodles,Grains,0.5,cup cooked,package,Pantry,Grains,false,false,true,365,3,oz,false,,
Rice Cakes,Grains,2,cakes,package,Pantry,Grains,false,false,true,180,14,count,false,,
Rice Noodles,Grains,0.5,cup cooked,package,Pantry,Grains,false,false,true,365,8,oz,false,,
Rigatoni,Grains,0.5,cup cooked,box,Pantry,Grains,false,false,true,365,16,oz,false,,
Rolled Oats,Grains,0.5,cup dry,container,Pantry,Grains,false,false,true,365,18,oz,true,,
Soba Noodles,Grains,0.5,cup cooked,package,Pantry,Grains,false,false,true,365,8,oz,false,,
Sourdough Bread,Grains,1,slice,loaf,Pantry,Grains,false,false,true,7,1,loaf,false,,
Spaghetti,Grains,0.5,cup cooked,box,Pantry,Grains,false,false,true,365,16,oz,true,,
Stuffing Mix,Grains,0.5,cup prepared,box,Pantry,Grains,false,false,true,365,6,oz,false,,
Tortilla Chips,Grains,1,oz,bag,Pantry,Grains,false,false,true,90,10,oz,false,,
Udon Noodles,Grains,0.5,cup cooked,package,Pantry,Grains,false,false,true,180,8,oz,false,,
Waffles,Grains,2,waffles,box,Freezer,Frozen,true,false,true,180,10,count,false,,Assumes frozen packaged waffles.
Whole Grain Bread,Grains,1,slice,loaf,Pantry,Grains,false,false,true,7,1,loaf,false,,
Whole Wheat Bread,Grains,1,slice,loaf,Pantry,Grains,false,false,true,7,1,loaf,false,,
Whole Wheat Couscous,Grains,0.5,cup cooked,box,Pantry,Grains,false,false,true,365,1,lb,false,,
Whole Wheat Pasta,Grains,0.5,cup cooked,box,Pantry,Grains,false,false,true,365,16,oz,false,Wholemeal Pasta,
Whole Wheat Tortilla,Grains,1,tortilla,package,Pantry,Grains,false,false,true,14,8,count,false,,
White Rice,Grains,0.5,cup cooked,bag,Pantry,Grains,false,false,true,365,1,lb,true,,
Wild Rice,Grains,0.5,cup cooked,bag,Pantry,Grains,false,false,true,365,1,lb,false,,
