Name,FoodGroup,ServingSize,ServingUnit,PurchaseUnit,DefaultLocation,StoreSection,IsPerishable,IsFlexibleGroup,IsMyPlateCounted,ShelfLifeDays,TypicalPackageSize,PackageSizeUnit,IsStaple,Aliases,Notes
All-Purpose Flour,Other,0,cup,bag,Pantry,Pantry,false,false,false,365,5,lb,true,Plain Flour,
Almond Extract,Other,0,tsp,bottle,Pantry,Pantry,false,false,false,730,2,oz,false,,
Alfredo Sauce,Other,0,tbsp,jar,Fridge,Pantry,true,false,false,30,15,oz,false,,Prepared mixed sauce; tracked as Other rather than Dairy for MyPlate counting.
Apple Cider Vinegar,Other,0,tbsp,bottle,Pantry,Pantry,false,false,false,730,16,oz,true,,
Baked Beans,Legume,0.5,cup,can,Pantry,Protein,false,true,true,730,16,oz,false,,
Baking Powder,Other,0,tsp,container,Pantry,Pantry,false,false,false,730,8,oz,true,,
Baking Soda,Other,0,tsp,box,Pantry,Pantry,false,false,false,730,16,oz,true,,
Balsamic Vinegar,Other,0,tbsp,bottle,Pantry,Pantry,false,false,false,730,16,oz,true,,
Barbecue Sauce,Other,0,tbsp,bottle,Pantry,Pantry,false,false,false,365,18,oz,false,,
Black Olives,Vegetable,0.5,cup,can,Pantry,Pantry,false,false,true,365,6,oz,false,,
Bouillon Cubes,Other,0,cube,box,Pantry,Pantry,false,false,false,730,8,count,false,,
Brown Sugar,Other,0,tbsp,bag,Pantry,Pantry,false,false,false,730,2,lb,true,,
Butter,Other,0,tbsp,box,Fridge,Pantry,true,false,false,90,16,oz,false,,Tracked as Other rather than Dairy for MyPlate counting.
Canned Mandarin Oranges,Fruit,0.5,cup,can,Pantry,Pantry,false,false,true,730,15,oz,false,,
Canned Peaches,Fruit,0.5,cup,can,Pantry,Pantry,false,false,true,730,15,oz,false,,
Canned Pears,Fruit,0.5,cup,can,Pantry,Pantry,false,false,true,730,15,oz,false,,
Canned Pineapple,Fruit,0.5,cup,can,Pantry,Pantry,false,false,true,730,20,oz,false,,
Canola Oil,Other,0,tbsp,bottle,Pantry,Pantry,false,false,false,730,48,oz,true,,
Coconut Oil,Other,0,tbsp,jar,Pantry,Pantry,false,false,false,730,14,oz,true,,
Corn Syrup,Other,0,tbsp,bottle,Pantry,Pantry,false,false,false,730,16,oz,false,,
Cornstarch,Other,0,tbsp,box,Pantry,Pantry,false,false,false,730,16,oz,true,,
